X,CH1,CH2,
Second,Volt,Volt,
1.06320e-02,2.01e+00,6.64e+00,
1.06340e-02,2.01e+00,6.64e+00,
1.06360e-02,2.01e+00,6.64e+00,
1.06380e-02,2.01e+00,6.64e+00,
1.06400e-02,2.01e+00,6.72e+00,
1.06420e-02,2.01e+00,6.72e+00,
1.06440e-02,2.01e+00,6.64e+00,
1.06460e-02,2.01e+00,6.72e+00,
1.06480e-02,2.01e+00,6.64e+00,
1.06500e-02,2.01e+00,6.72e+00,
1.06520e-02,2.01e+00,6.72e+00,
1.06540e-02,2.01e+00,6.72e+00,
1.06560e-02,2.01e+00,6.80e+00,
1.06580e-02,2.01e+00,6.80e+00,
1.06600e-02,2.01e+00,6.80e+00,
1.06620e-02,2.01e+00,6.72e+00,
1.06640e-02,2.01e+00,6.80e+00,
1.06660e-02,2.01e+00,6.80e+00,
1.06680e-02,2.01e+00,6.80e+00,
1.06700e-02,2.01e+00,6.80e+00,
1.06720e-02,2.01e+00,6.80e+00,
1.06740e-02,2.01e+00,6.80e+00,
1.06760e-02,2.01e+00,6.80e+00,
1.06780e-02,2.01e+00,6.88e+00,
1.06800e-02,2.01e+00,6.80e+00,
1.06820e-02,2.01e+00,6.80e+00,
1.06840e-02,2.01e+00,6.88e+00,
1.06860e-02,2.01e+00,6.80e+00,
1.06880e-02,2.01e+00,6.80e+00,
1.06900e-02,2.01e+00,6.88e+00,
1.06920e-02,2.01e+00,6.88e+00,
1.06940e-02,2.01e+00,6.88e+00,
1.06960e-02,2.01e+00,6.88e+00,
1.06980e-02,2.01e+00,6.88e+00,
1.07000e-02,2.01e+00,6.88e+00,
1.07020e-02,2.01e+00,6.88e+00,
1.07040e-02,2.01e+00,6.88e+00,
1.07060e-02,2.01e+00,6.88e+00,
1.07080e-02,2.01e+00,6.88e+00,
1.07100e-02,2.01e+00,6.88e+00,
1.07120e-02,2.01e+00,6.88e+00,
1.07140e-02,2.01e+00,6.88e+00,
1.07160e-02,2.01e+00,6.88e+00,
1.07180e-02,2.01e+00,6.88e+00,
1.07200e-02,2.01e+00,6.88e+00,
1.07220e-02,2.01e+00,6.88e+00,
1.07240e-02,2.01e+00,6.96e+00,
1.07260e-02,2.01e+00,6.96e+00,
1.07280e-02,2.01e+00,6.96e+00,
1.07300e-02,2.01e+00,6.96e+00,
