X,CH1,CH2
Second,Volt,Volt
1.36014E-01,1.10000E-01,5.04000E+00
1.36016E-01,1.10000E-01,5.04000E+00
1.36018E-01,1.09000E-01,5.12000E+00
1.36020E-01,1.09000E-01,5.12000E+00
1.36022E-01,1.10000E-01,5.12000E+00
1.36024E-01,1.09000E-01,5.12000E+00
1.36026E-01,1.10000E-01,5.12000E+00
1.36028E-01,1.09000E-01,5.04000E+00
1.36030E-01,1.10000E-01,5.04000E+00
1.36032E-01,1.10000E-01,5.04000E+00
1.36034E-01,1.09000E-01,5.12000E+00
1.36036E-01,1.09000E-01,5.20000E+00
1.36038E-01,1.09000E-01,5.20000E+00
1.36040E-01,1.09000E-01,5.28000E+00
1.36042E-01,1.10000E-01,5.28000E+00
1.36044E-01,1.10000E-01,5.28000E+00
1.36046E-01,1.09000E-01,5.28000E+00
1.36048E-01,1.10000E-01,5.28000E+00
1.36050E-01,1.09000E-01,5.28000E+00
1.36052E-01,1.10000E-01,5.28000E+00
1.36054E-01,1.09000E-01,5.20000E+00
1.36056E-01,1.09000E-01,5.20000E+00
1.36058E-01,1.09000E-01,5.28000E+00
1.36060E-01,1.09000E-01,5.28000E+00
1.36062E-01,1.10000E-01,5.36000E+00
1.36064E-01,1.09000E-01,5.36000E+00
1.36066E-01,1.09000E-01,5.44000E+00
1.36068E-01,1.09000E-01,5.52000E+00
1.36070E-01,1.09000E-01,5.52000E+00
1.36072E-01,1.09000E-01,5.60000E+00
1.36074E-01,1.09000E-01,5.52000E+00
1.36076E-01,1.10000E-01,5.52000E+00
1.36078E-01,1.09000E-01,5.52000E+00
1.36080E-01,1.09000E-01,5.52000E+00
1.36082E-01,1.09000E-01,5.44000E+00
1.36084E-01,1.09000E-01,5.52000E+00
1.36086E-01,1.09000E-01,5.52000E+00
1.36088E-01,1.09000E-01,5.60000E+00
1.36090E-01,1.10000E-01,5.60000E+00
1.36092E-01,1.09000E-01,5.68000E+00
1.36094E-01,1.09000E-01,5.68000E+00
1.36096E-01,1.09000E-01,5.68000E+00
1.36098E-01,1.10000E-01,5.76000E+00
1.36100E-01,1.09000E-01,5.68000E+00
1.36102E-01,1.09000E-01,5.68000E+00
