X,CH1,CH2,
Second,Volt,Volt,
1.15580e-01,4.04e-02,6.56e+00,
1.15581e-01,4.08e-02,6.56e+00,
1.15582e-01,4.12e-02,6.56e+00,
1.15583e-01,4.04e-02,6.64e+00,
1.15584e-01,4.04e-02,6.64e+00,
1.15585e-01,4.12e-02,6.56e+00,
1.15586e-01,4.12e-02,6.56e+00,
1.15587e-01,4.08e-02,6.56e+00,
1.15588e-01,4.12e-02,6.56e+00,
1.15589e-01,4.12e-02,6.56e+00,
1.15590e-01,4.12e-02,6.56e+00,
1.15591e-01,4.08e-02,6.56e+00,
1.15592e-01,4.12e-02,6.56e+00,
1.15593e-01,4.12e-02,6.64e+00,
1.15594e-01,4.04e-02,6.64e+00,
1.15595e-01,4.04e-02,6.72e+00,
1.15596e-01,4.12e-02,6.72e+00,
1.15597e-01,4.08e-02,6.72e+00,
1.15598e-01,4.08e-02,6.72e+00,
1.15599e-01,4.12e-02,6.72e+00,
1.15600e-01,4.12e-02,6.72e+00,
1.15601e-01,4.08e-02,6.72e+00,
1.15602e-01,4.12e-02,6.72e+00,
1.15603e-01,4.04e-02,6.72e+00,
1.15604e-01,4.12e-02,6.72e+00,
1.15605e-01,4.12e-02,6.72e+00,
1.15606e-01,4.08e-02,6.72e+00,
1.15607e-01,4.04e-02,6.72e+00,
1.15608e-01,4.12e-02,6.72e+00,
1.15609e-01,4.12e-02,6.80e+00,
1.15610e-01,4.04e-02,6.72e+00,
1.15611e-01,4.04e-02,6.80e+00,
1.15612e-01,4.12e-02,6.80e+00,
1.15613e-01,4.04e-02,6.80e+00,
1.15614e-01,4.08e-02,6.80e+00,
1.15615e-01,4.12e-02,6.80e+00,
1.15616e-01,4.12e-02,6.80e+00,
1.15617e-01,4.04e-02,6.80e+00,
1.15618e-01,4.12e-02,6.80e+00,
1.15619e-01,4.12e-02,6.80e+00,
1.15620e-01,4.12e-02,6.80e+00,
1.15621e-01,4.04e-02,6.80e+00,
1.15622e-01,4.12e-02,6.88e+00,
1.15623e-01,4.08e-02,6.88e+00,
1.15624e-01,4.04e-02,6.80e+00,
1.15625e-01,4.04e-02,6.80e+00,
1.15626e-01,4.12e-02,6.88e+00,
1.15627e-01,4.04e-02,6.88e+00,
1.15628e-01,4.08e-02,6.88e+00,
1.15629e-01,4.04e-02,6.88e+00,
1.15630e-01,4.12e-02,6.88e+00,
1.15631e-01,4.12e-02,6.88e+00,
1.15632e-01,4.12e-02,6.88e+00,
1.15633e-01,4.12e-02,6.88e+00,
1.15634e-01,4.12e-02,6.88e+00,
1.15635e-01,4.08e-02,6.88e+00,
1.15636e-01,4.08e-02,6.88e+00,
1.15637e-01,4.04e-02,6.88e+00,
1.15638e-01,4.12e-02,6.88e+00,
1.15639e-01,4.04e-02,6.88e+00,
1.15640e-01,4.04e-02,6.88e+00,
1.15641e-01,4.04e-02,6.88e+00,
1.15642e-01,4.16e-02,6.88e+00,
1.15643e-01,4.04e-02,6.88e+00,
1.15644e-01,4.04e-02,6.96e+00,
1.15645e-01,4.12e-02,6.88e+00,
1.15646e-01,4.12e-02,6.96e+00,
1.15647e-01,4.04e-02,6.96e+00,
1.15648e-01,4.12e-02,6.96e+00,
1.15649e-01,4.12e-02,6.96e+00,
1.15650e-01,4.12e-02,6.96e+00,
1.15651e-01,4.04e-02,6.96e+00,
1.15652e-01,4.12e-02,6.96e+00,
1.15653e-01,4.08e-02,6.96e+00,
1.15654e-01,4.08e-02,6.96e+00,
1.15655e-01,4.04e-02,7.04e+00,
1.15656e-01,4.12e-02,6.96e+00,
1.15657e-01,4.08e-02,7.04e+00,
1.15658e-01,4.12e-02,6.96e+00,
1.15659e-01,4.12e-02,6.96e+00,
1.15660e-01,4.12e-02,6.96e+00,
1.15661e-01,4.12e-02,6.96e+00,
1.15662e-01,4.12e-02,6.96e+00,
1.15663e-01,4.04e-02,6.96e+00,
1.15664e-01,4.12e-02,7.04e+00,
1.15665e-01,4.12e-02,7.04e+00,
1.15666e-01,4.08e-02,7.04e+00,
1.15667e-01,4.04e-02,7.04e+00,
1.15668e-01,4.12e-02,7.04e+00,
1.15669e-01,4.12e-02,7.04e+00,
1.15670e-01,4.08e-02,7.04e+00,
1.15671e-01,4.04e-02,7.12e+00,
1.15672e-01,4.12e-02,7.12e+00,
1.15673e-01,4.12e-02,7.12e+00,
1.15674e-01,4.12e-02,7.04e+00,
1.15675e-01,4.12e-02,7.12e+00,
1.15676e-01,4.04e-02,7.12e+00,
1.15677e-01,4.12e-02,7.12e+00,
1.15678e-01,4.12e-02,7.12e+00,
1.15679e-01,4.08e-02,7.12e+00,
1.15680e-01,4.04e-02,7.12e+00,
1.15681e-01,4.12e-02,7.12e+00,
1.15682e-01,4.12e-02,7.04e+00,
